Date : 2024-03-12 12:57:46
Directory : /Users/thet3o/Projects/justitis_app
Total : 69 files,  2923 codes, 239 comments, 388 blanks, all 3550 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/thet3o/Projects/justitis_app/lib/providers/myorders_provider.dart                          | Dart       |         63 |          6 |          5 |         74 |
| /Users/thet3o/Projects/justitis_app/lib/services/appwrite_service.dart                            | Dart       |         23 |          7 |          5 |         35 |
| /Users/thet3o/Projects/justitis_app/lib/services/fcm_service.dart                                 | Dart       |         35 |          0 |          6 |         41 |
| /Users/thet3o/Projects/justitis_app/lib/views/home.dart                                           | Dart       |        247 |          4 |          6 |        257 |
| /Users/thet3o/Projects/justitis_app/lib/views/login.dart                                          | Dart       |         35 |          0 |          4 |         39 |
| /Users/thet3o/Projects/justitis_app/lib/views/menu/cart.dart                                      | Dart       |         76 |          0 |          4 |         80 |
| /Users/thet3o/Projects/justitis_app/lib/views/menu/customization.dart                             | Dart       |         57 |          2 |          5 |         64 |
| /Users/thet3o/Projects/justitis_app/lib/views/menu/menu.dart                                      | Dart       |        128 |          0 |          3 |        131 |
| /Users/thet3o/Projects/justitis_app/lib/views/menu/submenu.dart                                   | Dart       |         77 |          1 |          6 |         84 |
| /Users/thet3o/Projects/justitis_app/lib/views/myorders.dart                                       | Dart       |         50 |          0 |          3 |         53 |
| /Users/thet3o/Projects/justitis_app/lib/views/wallet.dart                                         | Dart       |         95 |          0 |          4 |         99 |
| /Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| /Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| /Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugins.cmake                         | CMake      |         20 |          0 |          6 |         26 |
| /Users/thet3o/Projects/justitis_app/linux/main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| /Users/thet3o/Projects/justitis_app/linux/my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| /Users/thet3o/Projects/justitis_app/linux/my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| /Users/thet3o/Projects/justitis_app/macos/Flutter/GeneratedPluginRegistrant.swift                 | Swift      |         22 |          3 |          4 |         29 |
| /Users/thet3o/Projects/justitis_app/macos/Runner/AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| /Users/thet3o/Projects/justitis_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json | JSON       |         68 |          0 |          1 |         69 |
| /Users/thet3o/Projects/justitis_app/macos/Runner/Base.lproj/MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| /Users/thet3o/Projects/justitis_app/macos/Runner/MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| /Users/thet3o/Projects/justitis_app/macos/RunnerTests/RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| /Users/thet3o/Projects/justitis_app/package-lock.json                                             | JSON       |          6 |          0 |          1 |          7 |
| /Users/thet3o/Projects/justitis_app/package.json                                                  | JSON       |          1 |          0 |          1 |          2 |
| /Users/thet3o/Projects/justitis_app/pubspec.yaml                                                  | YAML       |         29 |          0 |          6 |         35 |
| /Users/thet3o/Projects/justitis_app/web/auth.html                                                 | HTML       |         10 |          0 |          0 |         10 |
| /Users/thet3o/Projects/justitis_app/web/firebase-messaging-sw.js                                  | JavaScript |         15 |          2 |          2 |         19 |
| /Users/thet3o/Projects/justitis_app/web/index.html                                                | HTML       |         60 |         17 |          7 |         84 |
| /Users/thet3o/Projects/justitis_app/web/manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| /Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| /Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| /Users/thet3o/Projects/justitis_app/windows/flutter/generated_plugins.cmake                       | CMake      |         21 |          0 |          6 |         27 |
| /Users/thet3o/Projects/justitis_app/windows/runner/flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| /Users/thet3o/Projects/justitis_app/windows/runner/flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| /Users/thet3o/Projects/justitis_app/windows/runner/main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| /Users/thet3o/Projects/justitis_app/windows/runner/resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| /Users/thet3o/Projects/justitis_app/windows/runner/utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| /Users/thet3o/Projects/justitis_app/windows/runner/utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| /Users/thet3o/Projects/justitis_app/windows/runner/win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| /Users/thet3o/Projects/justitis_app/windows/runner/win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                             |            |      2,923 |        239 |        388 |      3,550 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
